FID,id,global_id,name,ward_code,timestamp,geom,lga_name,state_code,state_name
sv_factory_sites.fid-4f319755_16f104f4870_-7fe7,1,1a7d352b-9513-4bfb-bd8c-ba4cbe5cd143,Liad Mot Ventures,OGSOBE15,10:17:21,POINT (3.38693 6.706298333333333),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fe6,2,7abad6a2-a089-4936-8ed8-86286ae99227,Twins Block Industry,OGSOBE15,10:17:21,POINT (3.3813949999999995 6.70367),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fe5,3,f76f863c-fc8f-456b-a752-8bde92287a61,Kanu Block Industry,OGSOBE15,10:17:21,POINT (3.387461666666667 6.708285000000001),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fe4,4,e5740655-c8e0-47d9-a444-0857408559cf,Semi Balo Construction Co,OGSOBE15,10:17:21,POINT (3.3851649999999998 6.703006666666666),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fe3,5,8820a8ef-a590-4978-ba97-592e558bf429,Olainukan Block Industry,OGSOBE15,10:17:21,POINT (3.3861 6.70459),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fe2,6,f30e3822-e785-4609-b128-bbb79f6329a0,Pouncy Ind,OGSOBE15,10:17:21,POINT (3.41484 6.702023333333333),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fe1,7,4a41a7b4-3789-4ee9-b109-3fd28d7b86c9,Venus Hair,OGSOBE15,10:17:21,POINT (3.4150500000000004 6.699209999999999),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fe0,8,7c2cb167-795d-4c15-9535-11712d01018c,Mannal Ind,OGSOBE15,10:17:21,POINT (3.4149100000000003 6.696603333333333),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fdf,9,4b486e6b-2fea-4bff-baf5-17227dc9495e,Maltitrex,OGSOBE15,10:17:21,POINT (3.41353 6.688868333333333),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fde,10,b4589cd6-ab2f-45a4-9f59-d1ab488d54f8,Buildwell Plant And Equipment Industry Ltd,OGSOBE15,10:17:21,POINT (3.414795 6.7245783333333335),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fdd,11,3e662b00-ed48-491a-921c-1f5363d3a403,Glass House,OGSOBE15,10:17:21,POINT (3.4085666666666667 6.715315),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fdc,12,4877dcca-e8c0-4ab5-96f2-a3801b84b7a9,Amajaro Company,OGSOBE15,10:17:21,POINT (3.410425 6.717571666666667),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fdb,13,2064bc50-0e1c-4122-bb75-522705973c97,Tosho Block Industry,OGSOBE15,10:17:21,POINT (3.4075333333333333 6.716171666666666),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fda,14,e0a3f749-f1dc-4b73-b22e-24d5012f4c72,Sawmill Industry,OGSOBE15,10:17:21,POINT (3.4026266666666665 6.718916666666667),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd9,15,29dea4f1-0df6-4968-8cf9-21306720042e,Punch Newspaper,OGSOBE15,10:17:21,POINT (3.4151783333333334 6.703196666666666),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd8,16,88ec2c44-d725-4cca-9fe5-85b89372e3ec,Wempco,OGSOBE15,10:17:21,POINT (3.4146900000000002 6.707463333333334),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd7,17,f97b92d9-851f-489e-9aa1-c212e3e3005c,Ranbaxy Nigeria Limited,OGSOBE15,10:17:21,POINT (3.4156483333333334 6.7093783333333326),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd6,18,4c491736-1c7e-4d57-a1a8-76d64d12db6c,Bedmate Furniture,OGSOBE15,10:17:21,POINT (3.4153166666666666 6.710476666666667),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd5,19,76230fbe-c2cd-436e-8d38-fd1462a244ce,Ascon Company,OGSOBE15,10:17:21,POINT (3.4153416666666665 6.7110650000000005),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd4,20,0684b7fa-abbd-43df-8930-ac20894542a8,Tolsec Nig Ltd Dangote Cement Depot,OGSOBE15,10:17:21,POINT (3.3966466666666673 6.723758333333334),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd3,21,3bc80c9d-d39c-439d-b814-c4474c756ff6,Elephant Supaset Portland Limestone Cement Lafarge,OGSOBE15,10:17:21,POINT (3.39718 6.724011666666667),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd2,22,41d71b2c-23f1-4f9e-9cab-a0daeb560142,Global Supply Chain And Logistic,OGSOBE15,10:17:21,POINT (3.4141466 6.7150539),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-7fd1,23,1cc33b83-dc4c-499a-bd31-8c23237f9237,Ceramco,OGSOBE15,10:17:21,POINT (3.4141087 6.7145817999999995),Obafemi Owode,OG,Ogun
